               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.029492,            0.011733,                   0,             0.85032,             0.75789,             0.78327,             0.46077,            0.037222,           0.0097537,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.028472,            0.012134,                   0,             0.87656,             0.74752,             0.78195,             0.44875,            0.035578,           0.0097797,                   0,            0.003862,            0.003862,            0.003862
                  95,             0.02883,            0.012543,                   0,              0.8557,              0.7491,             0.77281,              0.4541,            0.036651,             0.01038,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.028587,            0.012077,                   0,             0.84677,             0.75625,             0.75359,             0.45025,            0.039371,            0.010715,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.026975,            0.012068,                   0,             0.85387,             0.76842,             0.77295,             0.44427,            0.038268,            0.010628,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.026974,            0.012624,                   0,             0.85214,             0.75789,             0.77619,             0.45788,            0.039758,            0.010666,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.027794,             0.01227,                   0,             0.83513,             0.74737,             0.75929,             0.44675,            0.040468,            0.010529,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.026178,            0.012044,                   0,             0.81665,             0.75017,             0.77271,             0.44452,            0.038828,            0.010548,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.026393,            0.012669,                   0,             0.89589,             0.72465,             0.77365,             0.45483,            0.038758,            0.010384,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.027416,            0.011787,                   0,             0.90832,             0.73002,             0.79149,             0.46633,            0.037759,            0.010294,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.025971,            0.011545,                   0,              0.8938,             0.75789,             0.80097,             0.46857,            0.037877,            0.010261,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.024576,            0.010721,                   0,             0.85915,             0.75789,             0.81073,             0.46782,            0.038511,            0.010138,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.025096,            0.010506,                   0,             0.84829,             0.76518,             0.81111,             0.47533,            0.038702,            0.010044,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.026936,            0.012456,                   0,             0.86459,             0.75789,             0.81475,             0.47646,            0.039158,            0.010199,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.027192,            0.013006,                   0,             0.89265,             0.72632,             0.82183,             0.47745,            0.039265,             0.01029,                   0,            0.003004,            0.003004,            0.003004
                 108,             0.02527,             0.01062,                   0,             0.88674,             0.74171,             0.82403,             0.47102,            0.038971,            0.010184,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.024703,            0.010794,                   0,              0.8285,             0.81365,             0.83078,             0.47703,            0.037413,            0.010052,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.025873,             0.01111,                   0,             0.82803,             0.81053,              0.8285,             0.48815,            0.036908,            0.010038,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.025151,            0.011845,                   0,             0.81855,             0.80726,             0.81125,             0.48613,            0.036236,            0.010256,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.024747,            0.011251,                   0,             0.81869,             0.80804,             0.81081,             0.48284,            0.037801,            0.010363,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.025579,            0.012335,                   0,              0.8074,             0.82105,             0.82494,             0.47859,            0.035714,            0.010246,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.024235,            0.010604,                   0,              0.8231,                 0.8,              0.8222,             0.47894,            0.034345,            0.010186,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.025109,            0.011546,                   0,             0.82048,             0.81789,             0.82547,             0.48287,            0.034802,            0.010212,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.026065,            0.013703,                   0,             0.82499,             0.81053,             0.82652,              0.4901,              0.0357,             0.01025,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.024534,            0.011445,                   0,             0.82527,              0.7955,             0.82773,             0.47237,             0.03425,            0.010163,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.024153,            0.011563,                   0,             0.85877,             0.76807,             0.82146,             0.47585,            0.035313,             0.01005,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.024501,             0.01118,                   0,             0.84885,             0.78947,             0.82337,             0.48235,            0.036662,            0.009986,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.021694,            0.010455,                   0,             0.86337,             0.77895,             0.81841,             0.47808,            0.036733,             0.01008,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.022369,            0.011574,                   0,             0.88563,             0.77895,             0.81823,             0.47569,            0.035089,           0.0099237,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.023408,            0.012532,                   0,             0.88413,             0.76842,               0.819,             0.47753,            0.037462,            0.010103,                   0,            0.002014,            0.002014,            0.002014
                 123,             0.02302,            0.011135,                   0,             0.89974,             0.77895,             0.81589,              0.4798,            0.035913,            0.010094,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.023452,            0.011389,                   0,             0.89103,             0.77895,             0.81647,             0.48334,            0.036698,            0.010169,                   0,            0.001882,            0.001882,            0.001882
